"player","rapm"
HUN-60,-0.07267592714353588
POL-9,-1.6399959640780297
ROU-3,1.4327617047777412
NOR-3,-3.5407041888201785
ROU-26,-1.43799557926854
SLO-71,0.027794905924069028
NOR-24,-0.770104665115045
CZE-34,1.0572756098869478
CZE-38,0.14034294608003572
ROU-16,-0.6939785578029852
SWE-16,0.6180180367915704
POL-20,-1.5560159731715466
SRB-13,-1.5696006828049953
FRA-26,-0.6913014427199252
DEN-12,-1.1897470202859204
CZE-8,1.701000330126302
CRO-7,1.6374974208009159
NED-36,-1.0662594744401568
CRO-9,0.6923152557165998
ROU-20,2.819138271296744
HUN-12,0.6455088093402609
ESP-17,1.220215073324897
SWE-33,0.1546155247621028
CRO-28,-0.8045242223824727
ESP-34,3.13431622293203
NOR-42,-0.505577222307625
